season,season_type,player_id,player_name,position,position_group,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2024,REG,00-0036183,K.Wilkerson,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,3,18,1,0,0,16,11,2,2.861492906,0,1.125,0.081081081,0.087431694,0.182823807,0,7.8,9.8
2024,REG,00-0036187,R.Gilliam,FB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,7,0,0,0,1,-0.424517517,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0.7,0.7
2024,REG,00-0036196,G.Davis,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,20,42,239,2,1,1,565,39,13,-4.122692046,0,0.42300885,0.161538462,0.240221088,0.410462454,0,33.9,53.9
2024,REG,00-0036212,T.Tagovailoa,QB,QB,291,399,2867,19,7,21,154,4,2,2271,1685,161,84.67415489,2,1.262439454,0.145165694,17,49,0,3,0,5,0.472041754,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,181.58,181.58
2024,REG,00-0036223,J.Taylor,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,303,1431,11,2,0,71,-21.01531708,0,18,31,136,1,1,0,-10,150,7,-11.73647529,0,-13.6,0.092814371,-0.002960332,0.137149325,0,228.7,246.7
2024,REG,00-0036232,H.Bryant,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,9,12,86,0,0,0,41,71,5,-0.277640349,0,2.097560976,0.073170732,0.037340619,0.135894531,0,8.6,17.6
2024,REG,00-0036244,C.Parkinson,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,30,49,294,1,0,0,263,160,15,3.19863562,0,1.117870722,0.107692308,0.085278859,0.221233663,0,35.4,65.4
2024,REG,00-0036251,Z.Moss,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,74,242,2,2,1,13,-19.99148854,0,23,27,187,1,0,0,3,194,11,12.66654425,0,62.33333333,0.106719368,0.001885607,0.161398976,0,58.9,81.9
2024,REG,00-0036252,M.Pittman,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,69,111,808,3,1,1,1234,259,35,2.185442078,0,0.654781199,0.242888403,0.249696479,0.539120139,0,96.8,165.8
2024,REG,00-0036254,C.Johnson,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,2,6,0,0,0,16,3,1,-0.318918341,0,0.375,0.032786885,0.033542977,0.072660412,0,0.6,1.6
2024,REG,00-0036259,J.Jennings,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,77,113,975,6,1,0,1119,238,47,43.23980611,0,0.871313673,0.24726477,0.28372211,0.569502632,0,133.5,210.5
2024,REG,00-0036261,B.Aiyuk,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,25,47,374,0,0,0,556,107,19,12.81439738,0,0.672661871,0.222748815,0.270823186,0.523699453,0,37.4,62.4
2024,REG,00-0036264,J.Love,QB,QB,268,425,3389,25,11,14,100,1,0,3757,1654,151,58.97951949,3,0.902049508,0.126629,25,83,1,3,0,9,6.110127873,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,233.86,233.86
2024,REG,00-0036268,L.Shenault,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,1,0,0,0,0,-0.503968426,0,5,5,36,0,0,0,-10,46,2,2.91564205,0,0,0.027624309,-0.009017133,0.035124471,1,9.7,14.7
2024,REG,00-0036275,D.Swift,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,253,959,6,1,0,43,-38.92684177,0,42,52,386,0,1,0,2,405,12,1.807343236,1,193,0.102970297,0.000630716,0.154896947,0,172.5,214.5
2024,REG,00-0036290,C.Kmet,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,47,55,474,4,0,0,393,181,25,27.90995207,1,1.20610687,0.125,0.119380316,0.271066221,0,73.4,120.4
