season,team,player_id
2023,MIA,00-0034248
2023,MIN,00-0034250
2023,NE,00-0034251
2023,CAR,00-0034261
2023,GB,00-0034263
2023,NYJ,00-0034264
2023,DET,00-0034265
2023,NYJ,00-0034270
2023,KC,00-0034272
2023,MIA,00-0034274
2023,JAX,00-0034275
2023,MIA,00-0034277
2023,DEN,00-0034278
2023,CHI,00-0034279
2023,NYJ,00-0034280
2023,CAR,00-0034281
2023,MIA,00-0034285
2023,KC,00-0034286
2023,JAX,00-0034295
2023,DEN,00-0034296
2023,WAS,00-0034297
2023,NO,00-0034301
2023,CAR,00-0034302
2023,DET,00-0034310
2023,NO,00-0034317
2023,JAX,00-0034318
2023,ATL,00-0034320
2023,SF,00-0034325
2023,WAS,00-0034333
2023,WAS,00-0034334
2023,CHI,00-0034337
2023,DET,00-0034339
2023,IND,00-0034342
2023,MIN,00-0034344
2023,DET,00-0034345
2023,ARI,00-0034346
2023,PIT,00-0034347
2023,DEN,00-0034348
2023,SEA,00-0034350
2023,PHI,00-0034351
2023,MIA,00-0034352
2023,KC,00-0034353
2023,ATL,00-0034354
2023,HOU,00-0034355
2023,CAR,00-0034356
2023,SF,00-0034357
2023,IND,00-0034359
2023,ATL,00-0034360
2023,KC,00-0034361
2023,TB,00-0034363
2023,CLE,00-0034364
2023,CAR,00-0034365
2023,MIA,00-0034366
2023,BUF,00-0034367
2023,DEN,00-0034368
2023,MIA,00-0034371
2023,DAL,00-0034373
2023,NYJ,00-0034374
2023,ARI,00-0034375
2023,BUF,00-0034376
2023,PHI,00-0034377
2023,PHI,00-0034381
2023,CAR,00-0034382
2023,HOU,00-0034383
2023,NYJ,00-0034384
2023,NE,00-0034385
2023,KC,00-0034386
2023,LV,00-0034387
2023,TEN,00-0034389
2023,BUF,00-0034391
2023,HOU,00-0034392
2023,MIN,00-0034393
2023,BUF,00-0034394
2023,DET,00-0034395
2023,BUF,00-0034397
2023,CLE,00-0034399
2023,CLE,00-0034400
2023,MIA,00-0034401
2023,SF,00-0034407
2023,TB,00-0034411
2023,JAX,00-0034413
2023,PHI,00-0034414
2023,SF,00-0034417
2023,MIA,00-0034418
2023,MIA,00-0034419
2023,CAR,00-0034420
2023,CLE,00-0034424
2023,CAR,00-0034426
2023,PHI,00-0034429
2023,ATL,00-0034430
2023,IND,00-0034431
2023,NYJ,00-0034433
2023,MIA,00-0034435
2023,LAC,00-0034436
2023,JAX,00-0034437
2023,ATL,00-0034438
2023,DET,00-0034440
2023,WAS,00-0034445
2023,CIN,00-0034446
2023,MIN,00-0034450
