season,season_type,player_id,player_name,player_display_name,position,position_group,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2024,POST,00-0036355,J.Herbert,Justin Herbert,QB,QB,14,32,242,1,4,4,31,0,0,405,112,9,-23.05662093,0,0.597530864,-0.079320692,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,5.68,5.68
2024,POST,00-0036389,J.Hurts,Jalen Hurts,QB,QB,65,91,726,5,1,13,100,1,0,617,385,35,25.85473682,0,1.176661264,0.19902085,34,194,5,0,0,14,10.9954661,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,96.44,96.44
2024,POST,00-0036414,C.Akers,Cam Akers,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,5,39,0,0,0,1,-0.350229143,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,3.9,3.9
2024,POST,00-0036415,V.Jefferson,Van Jefferson,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,2,37,1,0,0,37,0,1,3.394213893,0,1,0.076923077,0.180487805,0.241726079,0,9.7,11.7
2024,POST,00-0036422,A.Trautman,Adam Trautman,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,1,2,0,0,0,2,0,0,-0.374200855,0,1,0.043478261,0.007272727,0.0703083,0,0.2,1.2
2024,POST,00-0036550,R.Bateman,Rashod Bateman,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,6,7,90,2,0,0,107,13,4,7.027123733,0,0.841121495,0.159090909,0.286863271,0.439440653,0,21,27
2024,POST,00-0036554,N.Collins,Nico Collins,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,12,16,203,1,0,0,214,67,11,15.9821926,0,0.948598131,0.266666667,0.368965517,0.658275862,0,26.3,38.3
2024,POST,00-0036626,D.Brown,Dyami Brown,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,14,18,229,1,2,1,190,91,9,9.340190896,0,1.205263158,0.166666667,0.267605634,0.437323944,0,26.9,40.9
2024,POST,00-0036628,J.Bates,John Bates,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,5,31,0,0,0,26,5,2,1.479061866,0,1.192307692,0.046296296,0.05,0.104444444,0,3.1,6.1
2024,POST,00-0036630,T.Wallace,Tylan Wallace,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,3,48,0,1,0,26,26,2,2.824795302,0,1.846153846,0.068181818,0.069705094,0.151066293,0,4.8,6.8
2024,POST,00-0036637,N.Gray,Noah Gray,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,4,4,15,0,0,0,11,4,0,-1.592914151,0,1.363636364,0.071428571,0.0275,0.126392857,0,1.5,5.5
2024,POST,00-0036849,T.Atwell,Tutu Atwell,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,1,18,0,0,0,18,0,1,1.481792609,0,1,0.022727273,0.040632054,0.062533347,0,1.8,2.8
2024,POST,00-0036893,N.Harris,Najee Harris,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,6,17,0,0,0,1,-1.346097611,0,3,3,41,0,0,0,-8,49,1,3.300911352,0,-5.125,0.115384615,-0.03902439,0.14575985,0,5.8,8.8
2024,POST,00-0036894,P.Freiermuth,Pat Freiermuth,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,4,15,0,0,0,14,5,0,-3.108059446,0,1.071428571,0.153846154,0.068292683,0.278574109,0,1.5,4.5
